bank_code,bank_name,branch_code,branch_name,full_name,county_code,county_name
01,Kenya Commercial Bank Limited,01 231,Kapsowar,"Kenya Commercial Bank Limited, Kapsowar",28,Elgeyo-Marakwet
01,Kenya Commercial Bank Limited,01 302,Diaspora,"Kenya Commercial Bank Limited, Diaspora",47,Nairobi County
01,Kenya Commercial Bank Limited,01 303,Kisii West,"Kenya Commercial Bank Limited, Kisii West",45,Kisii
01,Kenya Commercial Bank Limited,01 304,Mbita,"Kenya Commercial Bank Limited, Mbita",43,Homa Bay
01,Kenya Commercial Bank Limited,01 305,Sori,"Kenya Commercial Bank Limited, Sori",44,Migori
01,Kenya Commercial Bank Limited,01 306,Hurlingham,"Kenya Commercial Bank Limited, Hurlingham",47,Nairobi County
01,Kenya Commercial Bank Limited,01 307,Kibera,"Kenya Commercial Bank Limited, Kibera",47,Nairobi County
01,Kenya Commercial Bank Limited,01 308,Thika Road Mall Branch,"Kenya Commercial Bank Limited, Thika Road Mall Branch",47,Nairobi County
01,Kenya Commercial Bank Limited,01 309,Kasarani Branch,"Kenya Commercial Bank Limited, Kasarani Branch",47,Nairobi County
01,Kenya Commercial Bank Limited,01 310,KCB Maasai Mara,"Kenya Commercial Bank Limited, KCB Maasai Mara",33,Narok
01,Kenya Commercial Bank Limited,01 311,KCB Kabartonjo,"Kenya Commercial Bank Limited, KCB Kabartonjo",30,Baringo
01,Kenya Commercial Bank Limited,01 312,KCB Eldoret East,"Kenya Commercial Bank Limited, KCB Eldoret East",27,Uasin Gishu
01,Kenya Commercial Bank Limited,01 313,Kikim,"Kenya Commercial Bank Limited, Kikim",17,Makueni
01,Kenya Commercial Bank Limited,01 314,KCB JKUAT,"Kenya Commercial Bank Limited, KCB JKUAT",22,Kiambu
01,Kenya Commercial Bank Limited,01 315,KCB Changamwe,"Kenya Commercial Bank Limited, KCB Changamwe",01,Mombasa
01,Kenya Commercial Bank Limited,01 316,KCB Makongeni,"Kenya Commercial Bank Limited, KCB Makongeni",22,Kiambu
01,Kenya Commercial Bank Limited,01 317,KCB Syokimau,"Kenya Commercial Bank Limited, KCB Syokimau",16,Machakos
01,Kenya Commercial Bank Limited,01 340,Karen Waterfront Platinum,"Kenya Commercial Bank Limited, Karen Waterfront Platinum",47,Nairobi County
01,Kenya Commercial Bank Limited,01 341,KCB Ngong Branch,"Kenya Commercial Bank Limited, KCB Ngong Branch",34,Kajiado
01,Kenya Commercial Bank Limited,01 325,Garden City,"Kenya Commercial Bank Limited, Garden City",47,Nairobi County
01,Kenya Commercial Bank Limited,01 326,JKIA,"Kenya Commercial Bank Limited, JKIA",47,Nairobi County
01,Kenya Commercial Bank Limited,01 327,Makutano,"Kenya Commercial Bank Limited, Makutano",12,Meru
01,Kenya Commercial Bank Limited,01 330,KCB NextGen,"Kenya Commercial Bank Limited, KCB NextGen",47,Nairobi County
01,Kenya Commercial Bank Limited,01 331,KCB Mogotio,"Kenya Commercial Bank Limited, KCB Mogotio",30,Baringo
01,Kenya Commercial Bank Limited,01 329,Two Rivers,"Kenya Commercial Bank Limited, Two Rivers",22,Kiambu
01,Kenya Commercial Bank Limited,01 332,KCB Upperhill Platinum,"Kenya Commercial Bank Limited, KCB Upperhill Platinum",47,Nairobi County
01,Kenya Commercial Bank Limited,01 337,KCB Kilimani Platinum,"Kenya Commercial Bank Limited, KCB Kilimani Platinum",47,Nairobi County
01,Kenya Commercial Bank Limited,01 339,KCB Utawala,"Kenya Commercial Bank Limited, KCB Utawala",47,Nairobi County
01,Kenya Commercial Bank Limited,01 242,Ugunja,"Kenya Commercial Bank Limited, Ugunja",41,Siaya
01,Kenya Commercial Bank Limited,01 243,United Mall,"Kenya Commercial Bank Limited, United Mall",42,Kisumu
01,Kenya Commercial Bank Limited,01 244,Serem,"Kenya Commercial Bank Limited, Serem",38,Vihiga
01,Kenya Commercial Bank Limited,01 245,Sondu,"Kenya Commercial Bank Limited, Sondu",42,Kisumu
01,Kenya Commercial Bank Limited,01 246,Kisumu West,"Kenya Commercial Bank Limited, Kisumu West",42,Kisumu
01,Kenya Commercial Bank Limited,01 247,Marigat,"Kenya Commercial Bank Limited, Marigat",30,Baringo
01,Kenya Commercial Bank Limited,01 248,Mois Bridge,"Kenya Commercial Bank Limited, Mois Bridge",27,Uasin Gishu
01,Kenya Commercial Bank Limited,01 249,Mashariki,"Kenya Commercial Bank Limited, Mashariki",47,Nairobi County
01,Kenya Commercial Bank Limited,01 250,Naro Moro,"Kenya Commercial Bank Limited, Naro Moro",19,Nyeri
01,Kenya Commercial Bank Limited,01 251,Kiriaini,"Kenya Commercial Bank Limited, Kiriaini",21,Murang'a
01,Kenya Commercial Bank Limited,01 252,Egerton University,"Kenya Commercial Bank Limited, Egerton University",32,Nakuru
01,Kenya Commercial Bank Limited,01 253,Maua,"Kenya Commercial Bank Limited, Maua",12,Meru
01,Kenya Commercial Bank Limited,01 254,Kawangare,"Kenya Commercial Bank Limited, Kawangare",47,Nairobi County
01,Kenya Commercial Bank Limited,01 255,Kimathi,"Kenya Commercial Bank Limited, Kimathi",47,Nairobi County
01,Kenya Commercial Bank Limited,01 256,Namanga,"Kenya Commercial Bank Limited, Namanga",34,Kajiado
01,Kenya Commercial Bank Limited,01 288,Haile Selassie,"Kenya Commercial Bank Limited, Haile Selassie",47,Nairobi County
01,Kenya Commercial Bank Limited,01 289,Salama House Mortgage Centre,"Kenya Commercial Bank Limited, Salama House Mortgage Centre",47,Nairobi County
01,Kenya Commercial Bank Limited,01 290,Garden Plaza,"Kenya Commercial Bank Limited, Garden Plaza",47,Nairobi County
01,Kenya Commercial Bank Limited,01 291,Sarit Centre Mortgage Centre,"Kenya Commercial Bank Limited, Sarit Centre Mortgage Centre",47,Nairobi County
01,Kenya Commercial Bank Limited,01 292,Cpc Bulk Corporate Cheques,"Kenya Commercial Bank Limited, Cpc Bulk Corporate Cheques",47,Nairobi County
01,Kenya Commercial Bank Limited,01 293,Trade Services,"Kenya Commercial Bank Limited, Trade Services",47,Nairobi County
01,Kenya Commercial Bank Limited,01 295,Nairobi High Court,"Kenya Commercial Bank Limited, Nairobi High Court",47,Nairobi County
01,Kenya Commercial Bank Limited,01 296,Mombasa High Court,"Kenya Commercial Bank Limited, Mombasa High Court",01,Mombasa
01,Kenya Commercial Bank Limited,01 297,Kisumu Airport,"Kenya Commercial Bank Limited, Kisumu Airport",42,Kisumu
01,Kenya Commercial Bank Limited,01 298,Port Victoria,"Kenya Commercial Bank Limited, Port Victoria",40,Busia
01,Kenya Commercial Bank Limited,01 300,Nyali,"Kenya Commercial Bank Limited, Nyali",01,Mombasa
01,Kenya Commercial Bank Limited,01 301,Westgate Advantage,"Kenya Commercial Bank Limited, Westgate Advantage",47,Nairobi County
01,Kenya Commercial Bank Limited,01 287,Kisauni,"Kenya Commercial Bank Limited, Kisauni",01,Mombasa
01,Kenya Commercial Bank Limited,01 257,Gikomba,"Kenya Commercial Bank Limited, Gikomba",47,Nairobi County
01,Kenya Commercial Bank Limited,01 258,Kwale,"Kenya Commercial Bank Limited, Kwale",02,Kwale
01,Kenya Commercial Bank Limited,01 259,Prestige Plaza,"Kenya Commercial Bank Limited, Prestige Plaza",47,Nairobi County
01,Kenya Commercial Bank Limited,01 260,Kariobangi,"Kenya Commercial Bank Limited, Kariobangi",47,Nairobi County
01,Kenya Commercial Bank Limited,01 263,Biashara Street,"Kenya Commercial Bank Limited, Biashara Street",47,Nairobi County
01,Kenya Commercial Bank Limited,01 266,Ngara,"Kenya Commercial Bank Limited, Ngara",47,Nairobi County
01,Kenya Commercial Bank Limited,01 267,Kyuso,"Kenya Commercial Bank Limited, Kyuso",15,Kitui
01,Kenya Commercial Bank Limited,01 270,Masii,"Kenya Commercial Bank Limited, Masii",16,Machakos
01,Kenya Commercial Bank Limited,01 271,Menengai Crater,"Kenya Commercial Bank Limited, Menengai Crater",32,Nakuru
01,Kenya Commercial Bank Limited,01 272,Town Centre,"Kenya Commercial Bank Limited, Town Centre",01,Mombasa
01,Kenya Commercial Bank Limited,01 278,Makindu,"Kenya Commercial Bank Limited, Makindu",17,Makueni
01,Kenya Commercial Bank Limited,01 283,Rongo,"Kenya Commercial Bank Limited, Rongo",44,Migori
01,Kenya Commercial Bank Limited,01 284,Isibania,"Kenya Commercial Bank Limited, Isibania",44,Migori
01,Kenya Commercial Bank Limited,01 318,KCB Moi Referral Hospital,"Kenya Commercial Bank Limited, KCB Moi Referral Hospital",27,Uasin Gishu
01,Kenya Commercial Bank Limited,01 319,KCB Kitale Advantage,"Kenya Commercial Bank Limited, KCB Kitale Advantage",26,Trans-Nzoia
01,Kenya Commercial Bank Limited,01 320,KCB Lavington,"Kenya Commercial Bank Limited, KCB Lavington",47,Nairobi County
01,Kenya Commercial Bank Limited,01 322,KCB Riverside Advantage,"Kenya Commercial Bank Limited, KCB Riverside Advantage",47,Nairobi County
01,Kenya Commercial Bank Limited,01 323,KCB Gigiri Square,"Kenya Commercial Bank Limited, KCB Gigiri Square",47,Nairobi County
01,Kenya Commercial Bank Limited,01 324,Kayole,"Kenya Commercial Bank Limited, Kayole",47,Nairobi County
01,Kenya Commercial Bank Limited,01 214,Gatundu,"Kenya Commercial Bank Limited, Gatundu",22,Kiambu
01,Kenya Commercial Bank Limited,01 215,Emali,"Kenya Commercial Bank Limited, Emali",17,Makueni
01,Kenya Commercial Bank Limited,01 216,Isiolo,"Kenya Commercial Bank Limited, Isiolo",11,Isiolo
01,Kenya Commercial Bank Limited,01 217,KCB Flamingo,"Kenya Commercial Bank Limited, KCB Flamingo",32,Nakuru
01,Kenya Commercial Bank Limited,01 218,Njoro,"Kenya Commercial Bank Limited, Njoro",32,Nakuru
01,Kenya Commercial Bank Limited,01 219,Mutomo,"Kenya Commercial Bank Limited, Mutomo",15,Kitui
01,Kenya Commercial Bank Limited,01 220,Mariakani,"Kenya Commercial Bank Limited, Mariakani",03,Kilifi
01,Kenya Commercial Bank Limited,01 221,Mpeketoni,"Kenya Commercial Bank Limited, Mpeketoni",05,Lamu
01,Kenya Commercial Bank Limited,01 222,Mtitu Andei,"Kenya Commercial Bank Limited, Mtitu Andei",17,Makueni
01,Kenya Commercial Bank Limited,01 223,Mtwapa,"Kenya Commercial Bank Limited, Mtwapa",03,Kilifi
01,Kenya Commercial Bank Limited,01 224,Taveta,"Kenya Commercial Bank Limited, Taveta",06,Taita Taveta
01,Kenya Commercial Bank Limited,01 225,Kengeleni,"Kenya Commercial Bank Limited, Kengeleni",01,Mombasa
01,Kenya Commercial Bank Limited,01 226,Garsen,"Kenya Commercial Bank Limited, Garsen",04,Tana River
01,Kenya Commercial Bank Limited,01 227,Watamu,"Kenya Commercial Bank Limited, Watamu",03,Kilifi
01,Kenya Commercial Bank Limited,01 228,Bondo,"Kenya Commercial Bank Limited, Bondo",41,Siaya
01,Kenya Commercial Bank Limited,01 229,Busia,"Kenya Commercial Bank Limited, Busia",40,Busia
01,Kenya Commercial Bank Limited,01 230,Homa Bay,"Kenya Commercial Bank Limited, Homa Bay",43,Homa Bay
01,Kenya Commercial Bank Limited,01 185,Othaya,"Kenya Commercial Bank Limited, Othaya",19,Nyeri
01,Kenya Commercial Bank Limited,01 186,Voi,"Kenya Commercial Bank Limited, Voi",06,Taita Taveta
01,Kenya Commercial Bank Limited,01 188,Webuye,"Kenya Commercial Bank Limited, Webuye",39,Bungoma
01,Kenya Commercial Bank Limited,01 163,Eldama Ravine,"Kenya Commercial Bank Limited, Eldama Ravine",30,Baringo
01,Kenya Commercial Bank Limited,01 164,Kibwezi,"Kenya Commercial Bank Limited, Kibwezi",17,Makueni
01,Kenya Commercial Bank Limited,01 166,Kapsabet,"Kenya Commercial Bank Limited, Kapsabet",29,Nandi
01,Kenya Commercial Bank Limited,01 167,University Way,"Kenya Commercial Bank Limited, University Way",47,Nairobi County
01,Kenya Commercial Bank Limited,01 168,KCB Eldoret West,"Kenya Commercial Bank Limited, KCB Eldoret West",27,Uasin Gishu
01,Kenya Commercial Bank Limited,01 169,Garissa,"Kenya Commercial Bank Limited, Garissa",07,Garissa
01,Kenya Commercial Bank Limited,01 124,Mumias,"Kenya Commercial Bank Limited, Mumias",37,Kakamega
01,Kenya Commercial Bank Limited,01 125,Nanyuki,"Kenya Commercial Bank Limited, Nanyuki",31,Laikipia
01,Kenya Commercial Bank Limited,01 127,Moyale,"Kenya Commercial Bank Limited, Moyale",10,Marsabit
01,Kenya Commercial Bank Limited,01 129,Kikuyu,"Kenya Commercial Bank Limited, Kikuyu",22,Kiambu
01,Kenya Commercial Bank Limited,01 130,Tala,"Kenya Commercial Bank Limited, Tala",16,Machakos
01,Kenya Commercial Bank Limited,01 131,Kajiado,"Kenya Commercial Bank Limited, Kajiado",34,Kajiado
01,Kenya Commercial Bank Limited,01 133,KCB Custody services,"Kenya Commercial Bank Limited, KCB Custody services",47,Nairobi County
01,Kenya Commercial Bank Limited,01 134,Matuu,"Kenya Commercial Bank Limited, Matuu",16,Machakos
01,Kenya Commercial Bank Limited,01 135,Kitui,"Kenya Commercial Bank Limited, Kitui",15,Kitui
01,Kenya Commercial Bank Limited,01 136,Mvita,"Kenya Commercial Bank Limited, Mvita",01,Mombasa
01,Kenya Commercial Bank Limited,01 137,Jogoo Rd Nairobi,"Kenya Commercial Bank Limited, Jogoo Rd Nairobi",47,Nairobi County
01,Kenya Commercial Bank Limited,01 139,Card Centre,"Kenya Commercial Bank Limited, Card Centre",47,Nairobi County
01,Kenya Commercial Bank Limited,01 140,Marsabit,"Kenya Commercial Bank Limited, Marsabit",10,Marsabit
01,Kenya Commercial Bank Limited,01 141,Sarit Centre,"Kenya Commercial Bank Limited, Sarit Centre",47,Nairobi County
01,Kenya Commercial Bank Limited,01 142,Loitokitok,"Kenya Commercial Bank Limited, Loitokitok",34,Kajiado
01,Kenya Commercial Bank Limited,01 143,Nandi Hills,"Kenya Commercial Bank Limited, Nandi Hills",29,Nandi
01,Kenya Commercial Bank Limited,01 144,Lodwar,"Kenya Commercial Bank Limited, Lodwar",23,Turkana
01,Kenya Commercial Bank Limited,01 145,Un Gigiri,"Kenya Commercial Bank Limited, Un Gigiri",47,Nairobi County
01,Kenya Commercial Bank Limited,01 146,Hola,"Kenya Commercial Bank Limited, Hola",04,Tana River
01,Kenya Commercial Bank Limited,01 147,Ruiru,"Kenya Commercial Bank Limited, Ruiru",22,Kiambu
01,Kenya Commercial Bank Limited,01 148,Mwingi,"Kenya Commercial Bank Limited, Mwingi",15,Kitui
01,Kenya Commercial Bank Limited,01 149,Kitale,"Kenya Commercial Bank Limited, Kitale",26,Trans-Nzoia
01,Kenya Commercial Bank Limited,01 150,Mandera,"Kenya Commercial Bank Limited, Mandera",09,Mandera
01,Kenya Commercial Bank Limited,01 151,Kapenguria,"Kenya Commercial Bank Limited, Kapenguria",24,West Pokot
01,Kenya Commercial Bank Limited,01 152,Kabarnet,"Kenya Commercial Bank Limited, Kabarnet",30,Baringo
01,Kenya Commercial Bank Limited,01 153,Wajir,"Kenya Commercial Bank Limited, Wajir",08,Wajir
01,Kenya Commercial Bank Limited,01 154,Maralal,"Kenya Commercial Bank Limited, Maralal",25,Samburu
01,Kenya Commercial Bank Limited,01 155,Limuru,"Kenya Commercial Bank Limited, Limuru",22,Kiambu
01,Kenya Commercial Bank Limited,01 157,Ukunda,"Kenya Commercial Bank Limited, Ukunda",02,Kwale
01,Kenya Commercial Bank Limited,01 158,Iten,"Kenya Commercial Bank Limited, Iten",28,Elgeyo-Marakwet
01,Kenya Commercial Bank Limited,01 159,Gilgil,"Kenya Commercial Bank Limited, Gilgil",32,Nakuru
